label,SI,activation_times,n_activations,n_laws,predicted_type,true_type,correct
iafdb_iaf3_svc,0.1938375350140056,"[  203   451   768  1123  1635  2073  2331  2375  3255  3496  3743  3930
  4076  4398  4912  5744  6368  6377  6508  6510  6597  6639  6860  7160
  7358  7818  8059  8152  9117  9120  9511  9805 10550 10791 10870 11294
 11582 11622 12015 12684 12898 13099 13324 14262 14541 14584 16182 16473
 17074 17387 18043 18566 18828 19590 20045 20403 21316 21644 22034 22267
 22951 23173 23809 24001 24213 24218 24295 24661 25026 25444 25599 25901
 26193 26372 26639 26837 27061 27299 27451 27621 27733 28077 28405 29169
 29365]",85,85,type3,,
iafdb_iaf3_tva,0.12745098039215685,"[  454   687  2080  2167  2324  3470  3619  3748  3829  4004  4114  4532
  5244  7634  8416  9250  9287 11857 12024 13330 14250 14403 14532 16045
 16106 16273 16275 16384 16789 16825 16958 18619 18803 19597 19611 19719
 19903 20230 20513 21024 21576 22132 24519 25804 25969 26891 27277 27682
 27767 27811 28346 29274]",52,52,type3,,
iafdb_iaf4_afw,0.4444444444444444,"[ 1621  4215  4748  5392  8515  9047  9559 11771 13735 15675 16981 18549
 21007 24020 24669 25961 28044 28190 28838]",19,19,type2,,
iafdb_iaf4_ivc,0.9444444444444444,"[12525 16809 16907 16949 17004 17059 17168 17169 17626 18644 22560 22651
 22707 22728 22832 22887 23000 23218 24944 25071 26527 26576 27033 27050
 27158 27189 27221 27324 27332 27495 27566 27635 27673 27728 27821 27824]",36,36,flutter,,
iafdb_iaf4_svc,0.22631578947368422,"[  256   911  3519  6285  8093  8240  8886 10197 12674 12824 14913 15567
 17671 19495 24089 25916 27222 27358 28533 29190]",20,20,type3,,
iafdb_iaf4_tva,0.28104575163398693,"[ 3056  3708  4743  5789  6434 11233 12794 13828 14993 15383 15528 15901
 17462 17977 18121 18491 19020 20186]",18,18,type2,,
iafdb_iaf5_afw,0.2344161545215101,"[  163   403   455   721   834   934  1279  2172  2733  3073  3319  4098
  5082  5880  6292  6837  7739  8000  8010  8673  8775  8777  8871  9616
 10022 10597 10812 11316 11629 12016 12769 13397 13575 13851 14759 14834
 14970 16188 16431 16442 17599 18787 19208 19425 19760 20442 20835 21364
 21952 22395 22919 23542 24299 24460 24792 25235 25347 25490 25695 25742
 26278 26428 27807 28031 28786 28830 29807 29880]",68,68,type3,,
iafdb_iaf5_ivc,0.24375624375624375,"[  634   899  1262  1519  1956  2599  2832  3995  4307  4768  4826  5075
  5331  5436  5668  5852  7138  7343  8289  8297  8563  8693  9313  9470
  9746 11030 11101 11203 11864 12135 12258 12647 12767 13113 13312 13876
 13995 14120 14655 14978 15927 16009 16449 16972 17062 17203 18088 19094
 20133 20796 21179 21344 21580 22382 22571 22668 23078 23520 24492 24509
 24727 25476 25756 25849 26028 26521 27535 27542 27739 28633 28721 29109
 29110 29265 29318 29443 29539 29637]",78,78,type2,,
iafdb_iaf5_svc,0.343204653622422,"[  389  1897  1942  3086  3945  4196  4883  5098  5722  6619  6655  7508
  8160  8338  8458  9310 10125 10306 10928 11722 12608 13492 14518 15334
 16133 16561 17010 17903 18450 18730 19207 19299 19457 19510 19686 20130
 20301 20378 20514 20621 20652 21055 21114 21164 21368 21409 21546 22370
 23060 23263 24147 24665 25315 25515 25670 26502 27529 28332 28640 28761
 29139 29938]",62,62,type2,,
iafdb_iaf5_tva,0.3532863849765258,"[  441   853  2107  3265  3694  4724  4803  4952  4990  5519  5631  6023
  6115  6541  6803  7397  7621  7815  8407  8954  9344  9650  9872 10153
 10378 10655 10843 11809 13004 13093 13674 13795 13796 14471 14709 14805
 14984 15236 15929 15994 17167 17229 17270 18954 19223 19679 19942 20199
 20443 20594 20735 21874 22984 23204 23275 23393 23641 24070 24165 24599
 25179 25439 26913 27378 27917 28024 28727 28984 29230 29461 29730 29766]",72,72,type2,,
iafdb_iaf6_afw,0.40764604810996563,"[  538  1432  1437  1508  1635  1764  2124  2431  3362  3410  4366  4378
  4919  5054  5221  5727  5868  6022  6349  6479  6615  7448  7541  7927
  8051  8287  8288  8402  9119  9229  9920 10363 10496 10630 10756 10824
 11282 11767 11823 12068 12543 12658 12995 13135 13755 14163 14467 14679
 14901 15524 15657 15727 15906 16171 16416 16808 16940 17317 17907 17958
 18708 19321 19772 19930 20276 20407 20566 20836 20966 21602 21843 22141
 22468 22665 22902 23306 23458 23687 23746 24347 24521 25832 26008 26141
 26577 26688 26804 26885 27258 27770 27937 28230 28539 28675 29291 29568
 29716]",97,97,type2,,
iafdb_iaf6_ivc,0.9285714285714286,"[  797  1897  2790  3938  4185  5121  6916  8207  9102  9923 10799 12059
 13233 14090 15751 16723 17696 18707 19551 20802 22136 23135 24152 25449
 26308 27400 28327 29407]",28,28,flutter,,
iafdb_iaf6_svc,0.4211657907310081,"[  121   958   962  1434  1969  2085  2245  2396  3187  3189  3279  3412
  4006  4376  4598  4999  5277  5567  5770  5952  6148  6795  7056  7516
  7774  7905  8260  8636  8793  9246  9310  9498 10079 10833 11303 11436
 11564 11996 12652 13062 13464 13610 13840 14188 14644 14650 15449 15627
 15804 16794 17043 17109 17244 17379 17502 17778 17870 18398 18684 19399
 19582 19880 20276 20511 21344 21429 21683 21801 22555 23502 23566 23713
 23833 23950 24075 24298 24805 25041 25155 25779 26000 26591 26840 27073
 27211 27700 28019 28135 28477 28691 29673 29759]",92,92,type2,,
iafdb_iaf6_tva,1.0,"[  748  2150  3336  4250  5318  6559  7538  8497  9266 10309 11492 12585
 13624 14392 15261 16081 16857 17716 18820 19810 20820 22230 23076 24100
 25110 26037 27227 28480 29258]",29,29,flutter,,
iafdb_iaf7_afw,1.0,"[  324   906  1821  2397  3254  3863  4697  5327  6119  6801  7485  8093
  8781  9434 10013 10786 11392 11962 12651 13338 13887 14572 15083 15925
 16496 17056 17905 18538 19294 19946 20755 21440 22117 22711 23402 24096
 24622 25295 25803 26655 27249 28120 28712 29605]",44,44,flutter,,
iafdb_iaf7_ivc,0.9000925069380203,"[  426   936  1678  2410  2942  3672  4371  4934  5642  6126  6693  7147
  8060  8605  9159 10036 10650 11530 12057 12624 13085 14000 14560 15083
 15784 16307 17037 17741 18497 19026 19721 20468 20998 21722 22241 22950
 23687 24179 24913 25420 26033 26852 27386 27954 28813 29358 29893]",47,47,flutter,,
iafdb_iaf7_svc,0.9981498612395929,"[  184   906  1438  2173  2714  3663  4204  4812  5655  6204  6751  7249
  7853  8650  9214  9753 10284 10812 11613 12502 13009 13728 14239 14967
 15680 16231 16830 17683 18240 18760 19695 20243 20807 21334 21993 22503
 23239 23968 24496 25262 25754 26414 26976 27520 28383 28943 29525]",47,47,flutter,,
iafdb_iaf7_tva,1.0,"[  669  1341  2147  2727  3505  4038  4757  5248  6119  6717  7593  8156
  8699  9474 10118 10969 11625 12479 13043 13582 14380 15013 15872 16523
 17322 17940 18460 19339 19937 20726 21352 22266 22837 23740 24322 25131
 25800 26607 27228 27778 28622 29198]",42,42,flutter,,
iafdb_iaf8_afw,1.0,"[  407  1193  1746  2488  3051  3864  4410  5176  5729  6532  7080  7824
  8371  9155  9712 10483 11322 11877 12610 13165 13935 14492 15249 15803
 16565 17126 17906 18467 19240 19798 20562 21114 21887 22453 23192 23751
 24530 25344 25901 26661 27215 27978 28533 29300 29863]",45,45,flutter,,
iafdb_iaf8_ivc,0.9591836734693877,"[  787  1367  2150  2714  3253  3792  4325  4863  5392  5940  6495  7509
  8074  8803  9548 10121 10669 11216 11760 12323 12882 13585 14332 14886
 15438 15990 16543 17108 17683 18373 19121 19681 20226 20745 21313 22018
 22584 23133 23684 24249 24897 25750 26305 26878 27069 27549 28371 29137
 29704]",49,49,flutter,,
iafdb_iaf8_svc,0.9105520614954578,"[  160   881  1435  1987  2526  3070  3601  4141  4681  5210  5755  6307
  6846  7416  8125  8862  9428  9971 10248 10517 11068 11629 12185 12722
 12900 13655 14216 14758 15299 15871 16427 17136 17880 18440 18989 19538
 20073 20614 21143 21693 22249 22952 23722 24284 24822 25366 25894 26431
 26957 27480 28019 28540 29069 29608]",54,54,flutter,,
iafdb_iaf8_tva,0.9574468085106383,"[  741  1302  2063  2628  3379  3938  4703  5256  6030  6597  7382  7940
  8482  9034  9604 10231 11107 11674 12246 12966 13569 14126 14427 14805
 15361 16125 16681 17456 18006 18762 19322 20109 20671 21438 21993 22539
 23084 23630 24192 24744 25461 26215 26786 27340 27911 28481 29496]",47,47,flutter,,
